iteration,timestamp,mean_reward,success_rate,n_episodes,policy_loss,value_loss,bc_loss,shadow_pos_div_cm,shadow_orn_div_rad,grip_agreement,total_steps,blend_alpha,exec_pos_div,lr_policy,lr_value,entropy,kl_div,kl_beta,grad_norm_p,grad_norm_v,explained_var,clip_frac,adv_mean,loss_ppo,loss_value,loss_bc,loss_entropy,loss_phase,loss_smooth
39,2025-12-21T00:09:46.049830,715.5974,0.0000,2,0.310433,90.429458,0.000334,5.3592,0.004927,1.0000,81920,0.2520,0.079493,5.00e-07,1.00e-04,-2.0811,2.026723,0.0400,1214.1088,23.1344,0.0414,0.8796,-6.0166,0.310433,90.429458,0.000334,0.020811,0.000000,0.254280
40,2025-12-21T00:25:59.531746,708.5331,0.0000,2,0.129087,86.009407,0.000259,5.4440,0.004966,1.0000,83968,0.2600,0.077927,1.00e-06,1.00e-04,-2.0811,0.820701,0.0800,814.8959,21.6737,-0.0227,0.8022,-6.0515,0.129087,86.009407,0.000259,0.020811,0.000000,0.253220
41,2025-12-21T00:41:50.710343,703.6832,0.0000,2,0.155966,154.900658,0.000413,5.9125,0.005869,1.0000,86016,0.2680,0.104994,1.50e-06,1.00e-04,-2.0811,1.262612,0.1600,772.1990,20.1626,-0.0701,0.8442,-10.1092,0.155966,154.900658,0.000413,0.020811,0.000000,0.253388
42,2025-12-21T00:57:57.756058,711.1298,0.0000,2,0.147627,99.164260,0.000237,5.4839,0.005045,1.0000,88064,0.2760,0.089916,2.00e-06,1.00e-04,-2.0811,1.131117,0.3200,774.3348,14.8906,-0.0563,0.8530,-6.0411,0.147627,99.164260,0.000237,0.020811,0.000000,0.253919
43,2025-12-21T01:13:45.276837,709.0955,0.0000,2,0.137057,72.484014,0.000285,5.4704,0.005069,1.0000,90112,0.2840,0.085601,2.50e-06,1.00e-04,-2.0811,0.797216,0.6400,779.0549,9.1574,-0.0764,0.8344,-6.2189,0.137057,72.484014,0.000285,0.020811,0.000000,0.253843
44,2025-12-21T01:29:45.872975,715.4409,0.0000,2,0.147198,83.167607,0.000221,5.3902,0.004937,1.0000,92160,0.2920,0.071711,3.00e-06,1.00e-04,-2.0811,0.805280,1.2800,804.4527,7.3309,-0.0680,0.8564,-5.2190,0.147198,83.167607,0.000221,0.020811,0.000000,0.253703
45,2025-12-21T01:45:59.393436,715.2705,0.0000,2,0.167857,55.706363,0.000192,5.2396,0.004733,1.0000,94208,0.3000,0.078176,3.50e-06,1.00e-04,-2.0811,0.952114,2.5600,791.7937,4.5965,-0.1148,0.8624,-4.4468,0.167857,55.706363,0.000192,0.020811,0.000000,0.254027
46,2025-12-21T02:01:48.657393,714.5300,0.0000,2,0.182142,70.232375,0.000201,5.3637,0.004805,1.0000,96256,0.3080,0.091674,4.00e-06,1.00e-04,-2.0811,1.244351,5.1200,867.8258,4.8730,-0.0550,0.8751,-4.6254,0.182142,70.232375,0.000201,0.020811,0.000000,0.254146
47,2025-12-21T02:17:39.966006,717.7573,0.0000,2,0.189713,111.029738,0.000222,5.5060,0.005041,1.0000,98304,0.3160,0.096980,4.50e-06,1.00e-04,-2.0810,1.177152,10.2400,852.5104,5.7459,-0.0212,0.8804,-5.5745,0.189713,111.029738,0.000222,0.020810,0.000000,0.254375
48,2025-12-21T02:33:53.954836,693.8054,0.0000,2,0.157423,183.744688,0.000300,6.4262,0.006169,1.0000,100352,0.3240,0.123875,5.00e-06,1.00e-04,-2.0810,1.460701,20.0000,639.6366,7.5986,-0.0372,0.8978,-10.9032,0.157423,183.744688,0.000300,0.020810,0.000000,0.253557
49,2025-12-21T02:49:46.020914,718.8074,0.0000,2,0.145931,63.930213,0.000137,5.3539,0.004646,1.0000,102400,0.3320,0.074823,5.00e-06,1.00e-04,-2.0810,1.461814,20.0000,647.5456,3.9412,-0.1222,0.8873,-3.1519,0.145931,63.930213,0.000137,0.020810,0.000000,0.253338
50,2025-12-21T03:06:12.892579,716.9517,0.0000,2,0.231281,43.320203,0.000194,5.4099,0.004728,1.0000,104448,0.3400,0.131183,5.00e-06,1.00e-04,-2.0810,1.872997,20.0000,729.8625,2.5420,-0.1773,0.9269,-3.9646,0.231281,43.320203,0.000194,0.020810,0.000000,0.254101
51,2025-12-21T03:22:14.897930,709.0790,0.0000,2,0.159656,99.374520,0.000336,5.6238,0.005315,1.0000,106496,0.3480,0.160523,5.00e-06,1.00e-04,-2.0810,1.271991,20.0000,637.1415,3.3093,-0.0986,0.9031,-6.0206,0.159656,99.374520,0.000336,0.020810,0.000000,0.254153
52,2025-12-21T03:38:03.191323,703.0394,0.0000,2,0.158385,146.002044,0.000340,5.7898,0.005539,1.0000,108544,0.3560,0.133340,4.99e-06,1.00e-04,-2.0810,2.578842,20.0000,614.0425,2.8027,-0.1294,0.9037,-6.5282,0.158385,146.002044,0.000340,0.020810,0.000000,0.253740
