Idx,Phase_Label,Advantage,Proprio_0 (x),Proprio_1 (y),Proprio_2 (z),Proprio_Gripper,Tgt_Pose_0_x,Tgt_Pose_0_y,Tgt_Pose_0_z,Tgt_Grip_0
0,0,0.4346,0.023,-0.727,-0.025,0.029,0.340,0.003,0.500,0.00
1,0,0.1715,0.024,-0.695,-0.025,0.044,0.342,0.003,0.500,0.00
2,0,-0.0827,0.025,-0.691,-0.024,0.050,0.343,0.003,0.500,0.00
3,0,-0.3372,0.025,-0.687,-0.024,0.056,0.346,0.005,0.501,0.00
4,0,-0.5922,0.028,-0.676,-0.021,0.082,0.347,0.006,0.501,0.00
5,0,-0.8440,0.029,-0.675,-0.020,0.089,0.347,0.007,0.501,0.00
6,0,-1.0972,0.030,-0.673,-0.020,0.096,0.347,0.008,0.501,0.00
7,0,-1.3520,0.031,-0.672,-0.019,0.103,0.348,0.012,0.502,0.00
8,0,-1.6086,0.036,-0.667,-0.014,0.131,0.349,0.016,0.503,0.00
9,0,-1.8649,0.042,-0.663,-0.008,0.157,0.350,0.018,0.504,0.00
10,0,-2.1211,0.044,-0.661,-0.007,0.163,0.351,0.019,0.504,0.00
11,0,-2.3777,0.045,-0.657,-0.005,0.168,0.352,0.021,0.505,0.00
12,0,-2.6341,0.047,-0.652,-0.003,0.172,0.360,0.027,0.506,0.00
13,0,-2.8897,0.055,-0.625,0.003,0.185,0.363,0.028,0.506,0.00
14,0,-3.1301,0.057,-0.616,0.005,0.188,0.365,0.030,0.507,0.00
15,0,-3.3677,0.059,-0.608,0.007,0.190,0.368,0.032,0.507,0.00
16,0,-3.6021,0.060,-0.598,0.009,0.191,0.371,0.034,0.508,0.00
17,0,-3.8330,0.062,-0.589,0.011,0.193,0.374,0.035,0.508,0.00
18,0,-4.0602,0.064,-0.579,0.012,0.193,0.377,0.037,0.508,0.00
19,0,-4.2833,0.066,-0.569,0.014,0.194,0.383,0.041,0.509,0.00
20,0,-4.5022,0.070,-0.548,0.018,0.194,0.393,0.047,0.511,0.00
21,0,-4.7096,0.076,-0.514,0.024,0.193,0.403,0.053,0.512,0.00
22,0,-4.8974,0.082,-0.479,0.030,0.189,0.407,0.055,0.512,0.00
23,0,-5.0642,0.084,-0.467,0.031,0.188,0.414,0.059,0.513,0.00
24,0,-5.2248,0.088,-0.443,0.035,0.184,0.417,0.062,0.514,0.00
25,0,-5.3710,0.090,-0.430,0.037,0.182,0.421,0.064,0.514,0.00
26,0,-5.5106,0.092,-0.418,0.039,0.180,0.440,0.074,0.517,0.00
27,0,-5.6435,0.101,-0.354,0.049,0.167,0.443,0.077,0.517,0.00
28,0,-5.7362,0.102,-0.342,0.051,0.165,0.447,0.079,0.518,0.00
29,0,-5.8214,0.104,-0.329,0.052,0.162,0.451,0.081,0.518,0.00
30,0,-5.8992,0.106,-0.316,0.054,0.160,0.458,0.085,0.519,0.00
31,0,-5.9694,0.109,-0.291,0.058,0.154,0.462,0.087,0.520,0.00
32,0,-6.0236,0.110,-0.278,0.060,0.152,0.473,0.093,0.521,0.00
33,0,-6.0702,0.115,-0.240,0.065,0.144,0.476,0.095,0.522,0.00
34,0,-6.0928,0.116,-0.227,0.067,0.142,0.480,0.097,0.522,0.00
35,0,-6.1076,0.118,-0.215,0.068,0.139,0.483,0.099,0.523,0.00
36,0,-6.1146,0.119,-0.203,0.070,0.137,0.486,0.101,0.523,0.00
37,0,-6.1139,0.121,-0.190,0.072,0.134,0.490,0.103,0.524,0.00
38,0,-6.1054,0.122,-0.178,0.073,0.132,0.493,0.105,0.524,0.00
39,0,-6.0891,0.123,-0.166,0.075,0.130,0.499,0.109,0.525,0.00
40,0,-6.0652,0.126,-0.143,0.078,0.125,0.503,0.111,0.525,0.00
41,0,-6.0264,0.127,-0.131,0.079,0.123,0.506,0.112,0.526,0.00
42,0,-5.9800,0.128,-0.120,0.081,0.121,0.509,0.114,0.526,0.00
43,0,-5.9262,0.130,-0.109,0.082,0.118,0.515,0.117,0.527,0.00
44,0,-5.8649,0.132,-0.087,0.085,0.114,0.523,0.122,0.528,0.00
45,0,-5.7899,0.135,-0.056,0.089,0.106,0.528,0.125,0.529,0.00
46,0,-5.6955,0.138,-0.037,0.091,0.101,0.530,0.126,0.529,0.00
47,0,-5.5888,0.139,-0.027,0.092,0.098,0.532,0.128,0.530,0.00
48,0,-5.4755,0.140,-0.018,0.093,0.096,0.537,0.130,0.530,0.00
49,0,-5.3559,0.141,-0.001,0.095,0.090,0.539,0.131,0.531,0.00
50,0,-5.2252,0.142,0.007,0.096,0.086,0.541,0.132,0.531,0.00
51,0,-5.0886,0.143,0.015,0.097,0.083,0.543,0.133,0.531,0.00
