step,expert_state,mimicry_error_rad,ee_pos_x,ee_pos_y,ee_pos_z,target_pos_x,target_pos_y,target_pos_z
0,MOVE_TO_PRE_GRASP,0.121036,0.3014855,0.0037474174,0.46573395,0.35,0.003781994,0.46575227
1,MOVE_TO_PRE_GRASP,0.090925,0.30317554,0.0035899384,0.4671094,0.35,0.00388569,0.46580723
2,MOVE_TO_PRE_GRASP,0.062221,0.30756,0.0035288471,0.46848196,0.35,0.0040584025,0.46589875
3,MOVE_TO_PRE_GRASP,0.036953,0.3130509,0.0035844224,0.46796548,0.35,0.0042999615,0.46602675
4,MOVE_TO_PRE_GRASP,0.020543,0.3174156,0.0036597531,0.46680638,0.35,0.0046101287,0.4661911
5,MOVE_TO_PRE_GRASP,0.011929,0.3208909,0.003770401,0.46587795,0.35,0.004988598,0.46639168
6,MOVE_TO_PRE_GRASP,0.009778,0.3237502,0.0039237286,0.4652524,0.35,0.0054349955,0.46662822
7,MOVE_TO_PRE_GRASP,0.010691,0.32616127,0.004121794,0.46485522,0.35,0.0059488807,0.46690056
8,MOVE_TO_PRE_GRASP,0.011850,0.32823434,0.0043658293,0.46461666,0.35,0.006529747,0.46720836
9,MOVE_TO_PRE_GRASP,0.012563,0.33004567,0.004657109,0.4644901,0.35,0.0071770204,0.46755135
10,MOVE_TO_PRE_GRASP,0.012845,0.331649,0.0049969614,0.46444693,0.35,0.007890063,0.4679292
